CODE_DM,Latitude,Longitude
DM-05-01-02-01,13.7287998,100.5157633
DM-05-02-02-01,13.7176783,100.5147775
DM-05-02-01-01,13.7177692,100.5147055
DM-05-02-01-02,13.7080249,100.5089326
DM-05-03-01-01,13.7022502,100.5025888
DM-05-03-01-02,13.6977624,100.4974943
DM-05-05-07-01,13.69752733,100.5382725
DM-05-05-06-01,13.7037069,100.543018
DM-05-05-09-01,13.69413537,100.5402464
DM-55-04-04-01,13.72147732,100.7564596
DM-55-03-04-01,13.72197605,100.7243613
DM-55-03-03-01,13.72209054,100.714886
DM-55-03-02-01,13.7220905,100.7241373
DM-55-04-03-02,13.72166608,100.7561661
DM-55-05-03-01,13.71661536,100.8051619
DM-55-05-05-01,13.70663591,100.8319906
DM-55-05-04-01,13.69777846,100.8514729
DM-55-05-03-02,13.69739234,100.852302
DM-55-04-05-01,13.7218162,100.7819948
DM-55-04-03-04,13.72631175,100.7779556
DM-55-04-03-04,13.72632814,100.7780736
DM-55-04-03-01,13.73056549,100.7798586
DM-55-04-02-04,13.73944963,100.7906184
DM-55-04-01-01,13.75211859,100.7953356
DM-55-05-02-02,13.77352027,100.8140097
DM-12-04-01-02,13.79193654,100.598639
DM-12-04-02-01,13.78985002,100.6024396
DM-12-02-05-01,13.81027674,100.596343
DM-12-02-02-01,13.81031581,100.5962035
DM-12-02-07-01,13.81639764,100.6227118
DM-12-02-07-02,13.80294448,100.6158239
DM-12-01-02-01,13.84161142,100.5936527
DM-12-01-02-02,13.83750958,100.6026086
DM-12-01-05-01,13.8335431,100.610379
DM-12-01-06-01,13.83323578,100.6102073
DM-12-01-07-01,13.83607197,100.6318125
DM-12-05-02-01,13.83575944,100.6326011
DM-12-01-01-01,13.83780387,100.6027561
DM-12-02-08-02,13.8090838,100.619359
DM-12-02-08-01,13.79978489,100.6387433
DM-12-03-08-01,13.79778701,100.6305867
DM-12-07-03-01,13.83465257,100.6609118
DM-12-06-04-01,13.78259787,100.6467202
DM-12-01-08-01,13.82838631,100.6248254
DM-12-03-03-01,13.78319181,100.61481
DM-12-03-04-01,13.78313189,100.6148824
DM-12-03-05-01,13.77664021,100.6265366
DM-12-04-08-01,13.77379548,100.631209
DM-12-03-06-01,13.79375994,100.6277382
DM-12-03-08-02,13.79366356,100.6279555
DM-12-03-09-01,13.78801356,100.629251
DM-12-04-07-01,13.77646567,100.6263569
DM-12-03-07-01,13.78395506,100.6305063
DM-12-04-06-02,13.78293131,100.6147483
DM-05-02-05-01,13.7233492,100.5365689
DM-05-05-01-01,13.72344526,100.5367291
DM-05-02-04-02,13.7204106,100.5261601
DM-05-02-03-01,13.7203402,100.5261755
DM-05-04-06-01,13.7028793,100.5221985
DM-05-02-02-03,13.7077112,100.519868
DM-05-02-03-03,13.7076141,100.5203346
DM-06-01-02-01,13.76190493,100.4980781
DM-06-01-01-01,13.76205342,100.4981103
DM-06-01-02-02,13.75651429,100.5047878
DM-06-02-06-02,13.73704995,100.5095531
DM-06-02-06-01,13.74203498,100.5070862
DM-06-02-04-01,13.7421474,100.5072396
DM-06-02-01-02,13.74395822,100.5042053
DM-06-02-05-01,13.74374718,100.504208
DM-06-01-06-02,13.7425604,100.4987898
DM-06-01-03-03,13.74148514,100.4980041
DM-06-01-05-03,13.74899718,100.5000335
DM-06-01-05-04,13.74888254,100.5001515
DM-05-02-06-02,13.70633223,100.5269311
DM-05-02-07-01,13.70547449,100.5323844
DM-06-01-04-01,13.75599802,100.5044845
DM-06-01-04-03,13.75139563,100.496488
DM-06-01-05-01,13.75109341,100.4964612
DM-06-01-04-02,13.75228866,100.5046501
DM-06-02-01-01,13.74591757,100.5057937
DM-06-06-01-02,13.76182416,100.526125
DM-06-06-03-02,13.75711387,100.5384273
DM-06-02-02-01,13.74540328,100.5060552
DM-55-03-01-01,13.73210025,100.7083313
DM-55-03-01-02,13.73097943,100.7241806
DM-55-02-03-01,13.74889801,100.7463726
DM-55-02-01-01,13.76873039,100.7324807
DM-55-01-01-01,13.76865744,100.7322071
DM-05-02-02-01,13.76194084,100.7296789
DM-55-01-03-01,13.76483561,100.7248632
DM-55-01-02-01,13.76483561,100.7248632
DM-55-04-01-03,13.76784379,100.7463488
DM-55-04-02-01,13.74886297,100.7465997
DM-55-04-03-05,13.7302761,100.779825
DM-06-02-05-02,13.74043337,100.501785
DM-06-04-08-01,13.7388851,100.5468856
DM-05-01-09-02,13.72864071,100.5382451
DM-05-01-04-01,13.7323997,100.5292151
DM-05-01-01-03,13.7331842,100.5273485
DM-05-01-01-02,13.7354571,100.5216865
DM-05-01-01-01,13.7367589,100.5185423
DM-05-01-06-01,13.72491902,100.5237966
DM-05-01-07-01,13.72703105,100.5297274
DM-05-02-07-01,13.7054374,100.5323438
DM-06-05-09-01,13.77138838,100.5089754
DM-06-05-09-02,13.77135178,100.5091465
DM-06-05-07-01,13.77921267,100.5126786
DM-06-05-05-02,13.77438756,100.5252753
DM-06-05-09-03,13.76365355,100.5134022
DM-06-05-10-02,13.76035642,100.5134202
DM-06-05-10-01,13.76052062,100.5132024
DM-06-03-04-01,13.75748375,100.509885
DM-06-03-04-02,13.75528245,100.5096113
DM-06-03-06-01,13.75296911,100.5093131
DM-06-03-06-02,13.74984037,100.5148902
DM-06-04-04-03,13.73804571,100.5166363
DM-06-03-08-03,13.74583624,100.5160905
DM-06-04-04-02,13.73684454,100.5193675
DM-06-04-04-04,13.7466731,100.5235019
DM-06-04-05-04,13.74672069,100.5237513
DM-06-03-08-01,13.75146674,100.5086591
DM-06-03-01-01,13.7523087,100.5054785
DM-06-03-01-01,13.76667611,100.5008537
DM-06-03-03-03,13.76198386,100.5041308
DM-06-03-02-02,13.76215151,100.5040562
DM-06-03-03-01,13.76428074,100.5055202
DM-06-03-02-01,13.76455482,100.50548
DM-06-05-07-02,13.77799694,100.5177367
